dataset	taxaID	locus	gene	score	essentiality	pmid	Ref_db
110	7227	FBgn0000002	5SrRNA	1	E	NULL	flybase
110	7227	FBgn0000008	a	0.297	C	NULL	flybase
110	7227	FBgn0000009	Abnormal-abdomen	0	NE	NULL	flybase
110	7227	FBgn0000014	abd-A	0.416	C	NULL	flybase
110	7227	FBgn0000015	Abd-B	0.444	C	NULL	flybase
110	7227	FBgn0000017	Abl	0.49	C	NULL	flybase
110	7227	FBgn0000018	abo	0.36	C	NULL	flybase
110	7227	FBgn0000019	abr	1	E	NULL	flybase
110	7227	FBgn0000020	abt	0	NE	NULL	flybase
110	7227	FBgn0000022	ac	0	NE	NULL	flybase
110	7227	FBgn0000023	acclinal-wing	0	NE	NULL	flybase
110	7227	FBgn0000024	Ace	0.852	C	NULL	flybase
110	7227	FBgn0000028	acj6	0.132	C	NULL	flybase
110	7227	FBgn0000032	Acph-1	0	NE	NULL	flybase
110	7227	FBgn0000036	nAChRalpha1	0.04	C	NULL	flybase
110	7227	FBgn0000037	mAChR-A	0	NE	NULL	flybase
110	7227	FBgn0000038	nAChRbeta1	0	NE	NULL	flybase
110	7227	FBgn0000039	nAChRalpha2	0	NE	NULL	flybase
110	7227	FBgn0000042	Act5C	0.745	C	NULL	flybase
110	7227	FBgn0000043	Act42A	1	E	NULL	flybase
110	7227	FBgn0000044	Act57B	1	E	NULL	flybase
110	7227	FBgn0000045	Act79B	0.25	C	NULL	flybase
110	7227	FBgn0000046	Act87E	1	E	NULL	flybase
110	7227	FBgn0000047	Act88F	0.562	C	NULL	flybase
110	7227	FBgn0000049	l(1)adl1	1	E	NULL	flybase
110	7227	FBgn0000052	Pfas	0.562	C	NULL	flybase
110	7227	FBgn0000053	Gart	0.79	C	NULL	flybase
110	7227	FBgn0000057	adp	0.16	C	NULL	flybase
110	7227	FBgn0000061	al	0.404	C	NULL	flybase
110	7227	FBgn0000062	alb	1	E	NULL	flybase
110	7227	FBgn0000063	Mps1	0.25	C	NULL	flybase
110	7227	FBgn0000064	Ald1	0.16	C	NULL	flybase
110	7227	FBgn0000065	Aldox89A	0	NE	NULL	flybase
110	7227	FBgn0000068	alo	0	NE	NULL	flybase
110	7227	FBgn0000069	Ablp	1	E	NULL	flybase
