#SUBMITTED ID	NAME	SYMBOL
FBgn0029733	-	CG6927
FBgn0036727	Secretory chloride channel	SecCl
FBgn0037950	Histamine-gated chloride channel subunit 1	HisCl1
FBgn0003011	ora transientless	ort
FBgn0051116	Chloride channel-a	ClC-a
FBgn0033755	Chloride channel-b	ClC-b
FBgn0036566	Chloride channel-c	ClC-c
FBgn0264908	pH-sensitive chloride channel 1	pHCl-1
FBgn0039840	pH-sensitive chloride channel 2	pHCl-2
FBgn0015558	tweety	tty
FBgn0261444	-	CG3638
FBgn0038721	subdued	subdued
FBgn0033995	Golgi pH Regulator	GPHR
FBgn0004244	Resistant to dieldrin	Rdl
FBgn0001134	Glycine receptor	Grd
FBgn0010240	Ligand-gated chloride channel homolog 3	Lcch3
FBgn0033558	-	CG12344
FBgn0030707	-	CG8916
FBgn0028879	-	CG15270
FBgn0036235	-	CG6938
FBgn0030349	-	CG10353
FBgn0000152	Abnormal X segregation	Axs
FBgn0024963	GluClalpha	GluClalpha
FBgn0263397	I[[h]] channel	Ih
FBgn0263220	Hyperkinetic	Hk
FBgn0265042	Inwardly rectifying potassium channel 1	Irk1
FBgn0039081	Inwardly rectifying potassium channel 2	Irk2
FBgn0032706	Inwardly rectifying potassium channel 3	Irk3
FBgn0003380	Shaker	Sh
FBgn0262593	Shaker cognate b	Shab
FBgn0033494	KCNQ potassium channel	KCNQ
FBgn0000535	ether a go-go	eag
FBgn0003353	seizure	sei
FBgn0011589	Eag-like K[+] channel	Elk
FBgn0003386	Shaker cognate w	Shaw
FBgn0085395	Shaw-like	Shawl
FBgn0005564	Shaker cognate l	Shal
FBgn0003429	slowpoke	slo
FBgn0261698	slowpoke 2	SLO2
FBgn0029761	small conductance calcium-activated potassium channel	SK
FBgn0003861	transient receptor potential	trp
FBgn0005614	transient receptor potential-like	trpl
FBgn0016920	no mechanoreceptor potential C	nompC
FBgn0032593	Transient receptor potential cation channel gamma	Trpgamma
FBgn0035934	Transient receptor potential cation channel A1	TrpA1
FBgn0060296	painless	pain
FBgn0035113	pyrexia	pyx
FBgn0260005	water witch	wtrw
FBgn0086693	inactive	iav
FBgn0036414	nanchung	nan
FBgn0265194	Transient receptor potential cation channel, subfamily M	Trpm
FBgn0041195	Polycystic kidney disease 2	Pkd2
FBgn0262516	Transient receptor potential cation channel, mucolipin	Trpml
FBgn0261361	-	CG42638
FBgn0040238	Bestrophin 1	Best1
FBgn0035696	Bestrophin 2	Best2
FBgn0036492	Bestrophin 3	Best3
FBgn0036491	Bestrophin 4	Best4
FBgn0031634	Ionotropic receptor 25a	Ir25a
FBgn0052704	Ionotropic receptor 8a	Ir8a
FBgn0000036	nicotinic Acetylcholine Receptor alpha1	nAChRalpha1
FBgn0000039	nicotinic Acetylcholine Receptor alpha2	nAChRalpha2
FBgn0015519	nicotinic Acetylcholine Receptor alpha3	nAChRalpha3
FBgn0266347	nicotinic Acetylcholine Receptor alpha4	nAChRalpha4
FBgn0028875	nicotinic Acetylcholine Receptor alpha5	nAChRalpha5
FBgn0032151	nicotinic Acetylcholine Receptor alpha6	nAChRalpha6
FBgn0086778	nicotinic Acetylcholine Receptor alpha7	nAChRalpha7
FBgn0000038	nicotinic Acetylcholine Receptor beta1	nAChRbeta1
FBgn0004118	nicotinic Acetylcholine Receptor beta2	nAChRbeta2
