kegg.id	kegg.function	kegg.name
dme00010	Glycolysis / Gluconeogenesis - Drosophila melanogaster	Glycolysis / Gluconeogenesis
dme00020	Citrate cycle (TCA cycle) - Drosophila melanogaster	Citrate cycle (TCA cycle)
dme00030	Pentose phosphate pathway - Drosophila melanogaster	Pentose phosphate pathway
dme00040	Pentose and glucuronate interconversions - Drosophila melanogaster	Pentose and glucuronate interconversions
dme00051	Fructose and mannose metabolism - Drosophila melanogaster	Fructose and mannose metabolism
dme00052	Galactose metabolism - Drosophila melanogaster	Galactose metabolism
dme00053	Ascorbate and aldarate metabolism - Drosophila melanogaster	Ascorbate and aldarate metabolism
dme00061	Fatty acid biosynthesis - Drosophila melanogaster	Fatty acid biosynthesis
dme00062	Fatty acid elongation - Drosophila melanogaster	Fatty acid elongation
dme00071	Fatty acid degradation - Drosophila melanogaster	Fatty acid degradation
dme00072	Synthesis and degradation of ketone bodies - Drosophila melanogaster	Synthesis and degradation of ketone bodies
dme00100	Steroid biosynthesis - Drosophila melanogaster	Steroid biosynthesis
dme00130	Ubiquinone and other terpenoid-quinone biosynthesis - Drosophila melanogaster	Ubiquinone and other terpenoid-quinone biosynthesis
dme00190	Oxidative phosphorylation - Drosophila melanogaster	Oxidative phosphorylation
dme00220	Arginine biosynthesis - Drosophila melanogaster	Arginine biosynthesis
dme00230	Purine metabolism - Drosophila melanogaster	Purine metabolism
dme00232	Caffeine metabolism - Drosophila melanogaster	Caffeine metabolism
dme00240	Pyrimidine metabolism - Drosophila melanogaster	Pyrimidine metabolism
dme00250	Alanine, aspartate and glutamate metabolism - Drosophila melanogaster	Alanine, aspartate and glutamate metabolism
dme00260	Glycine, serine and threonine metabolism - Drosophila melanogaster	Glycine, serine and threonine metabolism
dme00270	Cysteine and methionine metabolism - Drosophila melanogaster	Cysteine and methionine metabolism
dme00280	Valine, leucine and isoleucine degradation - Drosophila melanogaster	Valine, leucine and isoleucine degradation
dme00290	Valine, leucine and isoleucine biosynthesis - Drosophila melanogaster	Valine, leucine and isoleucine biosynthesis
dme00310	Lysine degradation - Drosophila melanogaster	Lysine degradation
dme00330	Arginine and proline metabolism - Drosophila melanogaster	Arginine and proline metabolism
dme00340	Histidine metabolism - Drosophila melanogaster	Histidine metabolism
dme00350	Tyrosine metabolism - Drosophila melanogaster	Tyrosine metabolism
dme00360	Phenylalanine metabolism - Drosophila melanogaster	Phenylalanine metabolism
dme00380	Tryptophan metabolism - Drosophila melanogaster	Tryptophan metabolism
dme00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Drosophila melanogaster	Phenylalanine, tyrosine and tryptophan biosynthesis
dme00410	beta-Alanine metabolism - Drosophila melanogaster	beta-Alanine metabolism
dme00430	Taurine and hypotaurine metabolism - Drosophila melanogaster	Taurine and hypotaurine metabolism
dme00440	Phosphonate and phosphinate metabolism - Drosophila melanogaster	Phosphonate and phosphinate metabolism
dme00450	Selenocompound metabolism - Drosophila melanogaster	Selenocompound metabolism
dme00471	D-Glutamine and D-glutamate metabolism - Drosophila melanogaster	D-Glutamine and D-glutamate metabolism
dme00472	D-Arginine and D-ornithine metabolism - Drosophila melanogaster	D-Arginine and D-ornithine metabolism
dme00480	Glutathione metabolism - Drosophila melanogaster	Glutathione metabolism
dme00500	Starch and sucrose metabolism - Drosophila melanogaster	Starch and sucrose metabolism
dme00510	N-Glycan biosynthesis - Drosophila melanogaster	N-Glycan biosynthesis
dme00511	Other glycan degradation - Drosophila melanogaster	Other glycan degradation
dme00512	Mucin type O-glycan biosynthesis - Drosophila melanogaster	Mucin type O-glycan biosynthesis
dme00513	Various types of N-glycan biosynthesis - Drosophila melanogaster	Various types of N-glycan biosynthesis
dme00514	Other types of O-glycan biosynthesis - Drosophila melanogaster	Other types of O-glycan biosynthesis
dme00515	Mannose type O-glycan biosynthesis - Drosophila melanogaster	Mannose type O-glycan biosynthesis
dme00520	Amino sugar and nucleotide sugar metabolism - Drosophila melanogaster	Amino sugar and nucleotide sugar metabolism
dme00531	Glycosaminoglycan degradation - Drosophila melanogaster	Glycosaminoglycan degradation
dme00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Drosophila melanogaster	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
dme00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Drosophila melanogaster	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
dme00561	Glycerolipid metabolism - Drosophila melanogaster	Glycerolipid metabolism
dme00562	Inositol phosphate metabolism - Drosophila melanogaster	Inositol phosphate metabolism
dme00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Drosophila melanogaster	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
dme00564	Glycerophospholipid metabolism - Drosophila melanogaster	Glycerophospholipid metabolism
dme00565	Ether lipid metabolism - Drosophila melanogaster	Ether lipid metabolism
dme00590	Arachidonic acid metabolism - Drosophila melanogaster	Arachidonic acid metabolism
dme00592	alpha-Linolenic acid metabolism - Drosophila melanogaster	alpha-Linolenic acid metabolism
dme00600	Sphingolipid metabolism - Drosophila melanogaster	Sphingolipid metabolism
dme00601	Glycosphingolipid biosynthesis - lacto and neolacto series - Drosophila melanogaster	Glycosphingolipid biosynthesis - lacto and neolacto series
dme00603	Glycosphingolipid biosynthesis - globo and isoglobo series - Drosophila melanogaster	Glycosphingolipid biosynthesis - globo and isoglobo series
dme00604	Glycosphingolipid biosynthesis - ganglio series - Drosophila melanogaster	Glycosphingolipid biosynthesis - ganglio series
dme00620	Pyruvate metabolism - Drosophila melanogaster	Pyruvate metabolism
dme00630	Glyoxylate and dicarboxylate metabolism - Drosophila melanogaster	Glyoxylate and dicarboxylate metabolism
dme00640	Propanoate metabolism - Drosophila melanogaster	Propanoate metabolism
