N_unmapped	43030883	43030883	43030883
N_multimapping	0	0	0
N_noFeature	46542	13229091	71312
N_ambiguous	663151	11121	357701
FBgn0031081	1	0	1
FBgn0052826	0	0	0
FBgn0031085	0	0	0
FBgn0062565	0	0	0
FBgn0031088	0	0	0
FBgn0041626	0	0	0
FBgn0040784	0	0	0
FBgn0031086	0	0	0
FBgn0031082	0	0	0
FBgn0031080	0	0	0
FBgn0052821	0	0	0
FBgn0053217	669	0	669
FBgn0052350	1006	8	1786
FBgn0024733	21657	46	21612
FBgn0040372	11154	23	11131
FBgn0000316	2204	8	2294
FBgn0024989	2	0	2
FBgn0040371	1	0	1
FBgn0029521	0	0	0
FBgn0004034	0	0	0
FBgn0000022	0	0	0
FBgn0004170	0	0	0
FBgn0002561	0	0	0
FBgn0000137	0	0	0
FBgn0029522	0	7	861
FBgn0052817	3	4	7
FBgn0029524	12	0	13
FBgn0023536	566	0	718
FBgn0023534	1	0	1
FBgn0023535	3	30	14
FBgn0023537	1565	1	1564
FBgn0029525	1723	6	1718
FBgn0029523	1	862	11
FBgn0010019	22	0	22
FBgn0011822	0	0	0
FBgn0052816	39	0	39
FBgn0040370	22	0	22
FBgn0040373	674	0	674
FBgn0000108	51	2	49
FBgn0025640	230	38	240
FBgn0025635	1310	1	1309
FBgn0001341	1796	1	1798
FBgn0003575	2605	6	2600
FBgn0025634	427	5	422
FBgn0025638	1416	50	1419
FBgn0040383	24	2	24
FBgn0040382	697	0	697
FBgn0027343	386	0	386
FBgn0025621	1416	0	1417
FBgn0029535	0	0	0
FBgn0026874	7	1	6
FBgn0025616	3	2	1
FBgn0015799	5311	5	5307
FBgn0025620	0	0	0
FBgn0015288	4760	12	4748
FBgn0029532	0	0	0
FBgn0029531	3	28	4
FBgn0025639	8680	20	8713
FBgn0002579	5628	5	5623
FBgn0026879	458	13	494
FBgn0029529	138	1	164
FBgn0025633	10027	5	10022
FBgn0040892	0	0	0
FBgn0040341	1	1	0
FBgn0029539	0	0	0
FBgn0040339	527	1	552
FBgn0052815	5	129	5
FBgn0040340	711	2	709
FBgn0040347	1322	4	1794
FBgn0042146	0	0	0
FBgn0029552	0	0	0
FBgn0040337	418	3	420
FBgn0040398	5	0	5
FBgn0040365	0	0	0
FBgn0040397	2405	11	2526
FBgn0026143	3079	4	3080
FBgn0040351	18	2	16
FBgn0040338	1	0	1
FBgn0040350	0	1	0
FBgn0040349	1	1	0
FBgn0040348	1	473	3
FBgn0040346	737	1	865
FBgn0040342	3	0	3
FBgn0040345	5	30	1
FBgn0040343	0	0	0
FBgn0052814	14	0	14
FBgn0040364	1	0	1
FBgn0040362	1	0	1
FBgn0040361	0	0	0
FBgn0040360	0	0	0
FBgn0040359	0	0	0
FBgn0040358	0	0	0
FBgn0029568	0	0	0
FBgn0040357	0	0	0
FBgn0040367	26	1	25
FBgn0025642	4	0	4
FBgn0004650	8248	13	8235
FBgn0024362	1594	5	1589
FBgn0024361	0	0	0
FBgn0024364	1445	6	1441
FBgn0029573	0	0	0
FBgn0024987	2254	2	2252
FBgn0023169	1893	17	1892
FBgn0052813	25	3	22
FBgn0024985	1015	0	1015
FBgn0027794	557	1	556
FBgn0027795	9	0	9
FBgn0024986	295	3	308
FBgn0000826	1278	2	1278
FBgn0024365	2289	5	2284
FBgn0024360	833	2	831
FBgn0024366	26	0	26
FBgn0025641	3506	5	3501
FBgn0052811	0	0	0
FBgn0028550	81	2	79
FBgn0026876	1797	1	1796
FBgn0040366	482	5	477
FBgn0040363	0	0	0
FBgn0040368	0	0	0
FBgn0026872	13	0	13
FBgn0029580	0	0	0
FBgn0025383	1	1	0
FBgn0025381	842	2	840
FBgn0025394	1515	8	1509
FBgn0000482	633	30	638
FBgn0001189	553	1	558
FBgn0029587	1	166	0
FBgn0024897	0	0	0
FBgn0025391	0	0	0
FBgn0025378	0	0	0
FBgn0023130	664	0	729
FBgn0023530	219	6	220
FBgn0025390	23	7	16
FBgn0025393	0	1	1
FBgn0003517	14024	8	14016
FBgn0044508	0	0	0
FBgn0025382	123	1	122
FBgn0052808	0	0	0
