N_unmapped	22369235	22369235	22369235
N_multimapping	0	0	0
N_noFeature	281032	4901684	309630
N_ambiguous	209996	3199	106469
FBgn0031081	1	0	1
FBgn0052826	0	0	0
FBgn0031085	2	2	0
FBgn0062565	10	0	10
FBgn0031088	0	0	0
FBgn0041626	1	0	1
FBgn0040784	0	0	0
FBgn0031086	1	1	0
FBgn0031082	0	0	0
FBgn0031080	0	0	0
FBgn0052821	0	0	0
FBgn0053217	273	0	273
FBgn0052350	161	26	264
FBgn0024733	10996	15	10981
FBgn0040372	874	2	872
FBgn0000316	427	2	443
FBgn0024989	52	1	51
FBgn0040371	1	0	1
FBgn0029521	1	1	0
FBgn0004034	0	0	0
FBgn0000022	134	0	134
FBgn0004170	111	0	111
FBgn0002561	391	2	389
FBgn0000137	505	1	504
FBgn0029522	0	13	43
FBgn0052817	4	3	14
FBgn0029524	10	1	12
FBgn0023536	98	1	122
FBgn0023534	2	0	2
FBgn0023535	3	7	12
FBgn0023537	92	0	92
FBgn0029525	959	4	957
FBgn0029523	10	56	21
FBgn0010019	18	1	17
FBgn0011822	2	0	2
FBgn0052816	1	0	1
FBgn0040370	9	1	8
FBgn0040373	475	1	474
FBgn0000108	24	1	23
FBgn0025640	25	19	25
FBgn0025635	283	1	282
FBgn0001341	832	7	826
FBgn0003575	734	3	731
FBgn0025634	121	0	121
FBgn0025638	718	16	730
FBgn0040383	55	0	56
FBgn0040382	39	1	38
FBgn0027343	172	1	171
FBgn0025621	283	0	283
FBgn0029535	0	0	0
FBgn0026874	10	0	10
FBgn0025616	11	10	1
FBgn0015799	813	1	812
FBgn0025620	8	8	1
FBgn0015288	2605	5	2600
FBgn0029532	9	8	1
FBgn0029531	1	103	0
FBgn0025639	1770	17	1782
FBgn0002579	2963	2	2961
FBgn0026879	137	3	155
FBgn0029529	20	1	26
FBgn0025633	1170	0	1170
FBgn0040892	1	1	0
FBgn0040341	4	4	0
FBgn0029539	0	0	0
FBgn0040339	106	0	114
FBgn0052815	12	23	14
FBgn0040340	842	1	841
FBgn0040347	5	0	6
FBgn0042146	0	0	0
FBgn0029552	0	0	0
FBgn0040337	14	0	16
FBgn0040398	161	0	161
FBgn0040365	2	1	1
FBgn0040397	507	2	535
FBgn0026143	195	3	194
FBgn0040351	7	0	7
FBgn0040338	0	0	0
FBgn0040350	0	0	0
FBgn0040349	43	1	42
FBgn0040348	8	8	1
FBgn0040346	161	2	183
FBgn0040342	13	8	6
FBgn0040345	17	25	0
FBgn0040343	0	0	0
FBgn0052814	2	0	2
FBgn0040364	16	0	16
FBgn0040362	0	0	0
FBgn0040361	0	0	0
FBgn0040360	0	0	0
FBgn0040359	1	1	0
FBgn0040358	1	1	0
FBgn0029568	0	0	0
FBgn0040357	0	0	0
FBgn0040367	28	7	22
FBgn0025642	2	1	1
FBgn0004650	18	2	16
FBgn0024362	326	3	323
FBgn0024361	9	9	1
FBgn0024364	299	1	298
FBgn0029573	3	2	1
FBgn0024987	1043	3	1040
FBgn0023169	470	10	470
FBgn0052813	83	0	83
FBgn0024985	128	0	128
FBgn0027794	233	1	232
FBgn0027795	33	2	31
FBgn0024986	108	1	117
FBgn0000826	3	1	2
FBgn0024365	469	0	469
FBgn0024360	131	3	129
FBgn0024366	48	0	48
FBgn0025641	290	4	286
FBgn0052811	2	0	2
FBgn0028550	6	2	4
FBgn0026876	280	0	280
FBgn0040366	54	1	54
FBgn0040363	0	0	0
FBgn0040368	0	0	0
FBgn0026872	21	4	17
FBgn0029580	25	26	0
FBgn0025383	1	0	1
FBgn0025381	216	2	214
FBgn0025394	683	3	683
FBgn0000482	352	8	349
FBgn0001189	271	19	284
FBgn0029587	7	93	0
FBgn0024897	6	7	0
FBgn0025391	0	0	0
FBgn0025378	0	0	0
FBgn0023130	237	1	264
FBgn0023530	29	4	29
FBgn0025390	9	0	9
FBgn0025393	0	3	0
FBgn0003517	6693	4	6689
FBgn0044508	0	0	0
FBgn0025382	52	2	50
FBgn0052808	20	1	20
FBgn0027791	122	3	119
FBgn0027793	17	1	16
FBgn0052806	0	0	0
FBgn0026873	161	4	175
FBgn0023513	188	4	205
FBgn0014411	339	4	362
FBgn0023514	358	3	370
FBgn0029594	102	33	122
FBgn0023519	149	71	152
FBgn0023509	869	15	905
FBgn0023510	629	2	629
FBgn0023508	310	3	307
FBgn0023522	237	0	238
FBgn0023521	51	2	49
FBgn0025627	297	2	295
FBgn0025630	89	20	109
FBgn0025629	89	21	94
FBgn0025628	90	27	86
FBgn0029596	2	10	0
FBgn0025626	476	4	472
FBgn0025625	18	16	4
FBgn0025631	286	13	273
FBgn0026878	7	5	2
FBgn0000667	272	261	270
FBgn0003964	213	1	212
FBgn0023545	79	1	84
FBgn0023520	106	4	103
FBgn0023512	348	19	354
FBgn0023511	502	48	491
FBgn0052801	0	29	9
FBgn0023518	1521	22	1552
FBgn0026088	26	13	28
FBgn0026089	49	27	49
FBgn0023517	126	3	130
FBgn0023516	77	29	80
FBgn0023515	379	0	379
FBgn0028969	807	1	806
FBgn0026090	67	0	67
FBgn0029590	1	0	1
FBgn0025624	46	30	41
FBgn0040395	185	0	185
FBgn0000382	174	2	173
FBgn0023507	16	2	14
FBgn0004654	12	5	13
FBgn0023540	9	0	9
FBgn0025839	73	0	74
FBgn0011576	0	50	32
FBgn0015036	1	40	1
FBgn0003116	29	29	31
FBgn0040899	24	0	24
FBgn0040900	0	0	0
FBgn0024984	4	0	4
FBgn0023549	201	0	256
FBgn0029606	1	1	0
FBgn0003048	2464	5	2464
FBgn0000810	437	2	435
FBgn0023523	2	0	2
FBgn0023527	391	18	415
FBgn0040391	23	6	17
FBgn0053218	8	2	6
FBgn0003079	476	1	476
FBgn0003159	56	4	52
FBgn0040389	74	6	69
FBgn0044047	92	11	81
FBgn0040392	34	5	29
FBgn0023526	1253	5	1248
FBgn0023529	1886	2	1884
FBgn0023528	508	25	529
FBgn0027296	82	0	82
FBgn0023524	6	3	3
FBgn0023525	4	3	1
FBgn0000377	444	1	443
FBgn0001330	453	4	454
FBgn0004397	44	1	43
FBgn0023550	14	14	0
FBgn0029603	1	0	1
FBgn0023542	407	3	435
FBgn0023541	0	27	7
FBgn0005670	9	9	0
FBgn0004655	1315	3	1312
FBgn0013432	31	1	36
FBgn0004861	1029	4	1025
FBgn0004860	926	1	926
FBgn0040394	440	6	459
FBgn0040376	2	6	1
FBgn0040066	523	2	521
FBgn0001404	333	12	321
FBgn0040336	28	2	30
FBgn0040333	4	2	5
FBgn0040334	200	2	199
FBgn0029629	781	0	781
FBgn0011566	37	42	40
FBgn0011606	1608	4	1605
FBgn0040375	29	0	34
FBgn0040377	0	0	0
FBgn0040388	628	0	633
FBgn0003714	52	0	52
FBgn0001150	54	0	54
FBgn0052797	0	0	0
FBgn0040385	271	0	271
FBgn0003371	1738	4	1734
FBgn0003068	0	2	0
FBgn0024993	98	3	95
FBgn0024996	219	0	224
FBgn0024997	8	7	1
FBgn0024991	148	2	150
FBgn0000928	20	0	20
FBgn0000927	1	0	1
FBgn0000520	254	2	252
FBgn0024975	76	9	88
FBgn0040356	0	0	0
FBgn0003996	29	1	28
FBgn0040384	123	1	122
FBgn0024980	2	0	2
FBgn0000376	387	13	395
FBgn0024973	229	3	230
FBgn0024998	188	0	188
FBgn0024995	7	10	2
FBgn0024994	85	0	85
FBgn0024992	190	1	189
FBgn0000092	4	0	6
FBgn0025838	0	0	0
FBgn0011276	3	2	1
FBgn0004647	10567	10	10557
FBgn0040396	25	0	25
FBgn0000479	36	9	28
FBgn0002933	0	0	0
FBgn0003374	0	0	0
FBgn0029660	0	0	0
FBgn0029662	5	0	5
FBgn0029661	0	0	0
FBgn0029659	0	0	0
FBgn0029658	0	0	0
FBgn0052493	0	0	0
FBgn0029657	5	162	5
FBgn0029656	1	1	0
FBgn0003086	0	0	0
FBgn0010296	0	0	0
FBgn0010295	0	0	0
FBgn0010294	0	0	0
FBgn0040393	0	0	0
FBgn0000644	0	0	0
FBgn0028746	26	1	25
FBgn0040355	2	2	0
FBgn0052793	0	0	0
FBgn0029642	0	0	0
FBgn0025645	0	0	0
FBgn0029643	0	0	0
FBgn0029644	0	0	0
FBgn0029645	0	0	0
FBgn0029646	1	1	0
FBgn0029647	0	0	0
FBgn0029648	1	0	1
FBgn0028369	225	4	221
FBgn0029649	0	0	0
FBgn0003285	835	1	834
FBgn0025644	0	0	0
FBgn0029639	0	0	0
FBgn0040354	1	0	1
FBgn0040353	0	0	0
FBgn0040352	0	0	0
FBgn0029664	85	0	85
FBgn0029666	278	0	278
FBgn0029669	3	2	1
FBgn0052792	8	81	0
FBgn0044046	0	0	0
FBgn0023215	196	0	196
FBgn0015286	377	1	376
FBgn0023216	64	0	64
FBgn0029672	291	0	353
FBgn0052791	190	1	189
FBgn0029667	3	0	3
FBgn0029665	72	0	72
FBgn0029663	0	0	0
FBgn0052785	0	0	0
FBgn0025118	2	0	2
FBgn0028491	254	5	250
FBgn0029681	0	0	0
FBgn0029686	131	0	132
FBgn0052786	1	0	1
FBgn0052783	12	0	12
FBgn0029687	1776	6	1770
FBgn0029690	0	3	0
FBgn0029689	34	0	34
FBgn0029688	2508	5	2503
FBgn0029685	101	18	83
FBgn0019661	12529	121	12525
FBgn0029694	0	0	0
FBgn0000221	72	1	71
FBgn0026084	232	3	229
FBgn0026085	45	29	51
FBgn0026083	1941	3	2060
FBgn0066114	154	0	156
FBgn0029697	3	0	3
FBgn0029701	0	0	0
FBgn0029702	0	0	0
FBgn0029706	167	1	203
FBgn0029707	1	0	1
FBgn0029705	1	1	0
FBgn0040907	22	0	22
FBgn0002707	56	0	56
FBgn0040906	0	0	0
FBgn0029703	0	0	0
FBgn0040905	0	0	0
FBgn0040904	0	0	0
FBgn0029700	0	0	0
FBgn0052774	0	0	0
FBgn0041252	0	0	0
FBgn0029696	0	0	0
FBgn0000635	2314	8	2308
FBgn0026080	196	129	220
FBgn0026079	499	1	502
FBgn0004832	36	0	36
FBgn0029693	560	1	559
FBgn0000179	195	2	193
FBgn0029708	11	10	1
FBgn0029709	378	0	378
FBgn0029710	30	2	28
FBgn0029712	8	2	9
FBgn0029714	160	2	158
FBgn0029716	3	0	3
FBgn0022768	1631	1	1630
FBgn0029715	345	0	345
FBgn0029713	156	1	158
FBgn0029711	303	0	303
FBgn0003210	507	1	506
FBgn0052773	2	0	2
FBgn0011760	1786	6	1780
FBgn0028325	141	0	141
FBgn0029722	3	0	3
FBgn0029727	0	0	0
FBgn0029729	0	0	0
FBgn0029730	0	0	0
FBgn0029733	4	2	2
FBgn0052772	191	0	191
FBgn0029737	205	3	202
FBgn0004368	986	1	985
FBgn0029740	0	0	0
FBgn0061196	12	0	12
FBgn0029728	20	0	20
FBgn0029726	0	0	0
