time.window,ncell,ncell.with.zero.Y,ncell.expr.msl-3,ncell.expr.Sxl,ncell.expr.msl-2,ncell.expr.msl-1,start
0-2hrs,49921,31322,2272,8269,394,10867,0
2-4hrs,60348,43653,1550,9149,554,7158,2
4-6hrs,62305,40380,1078,17589,1288,3882,4
6-8hrs,58173,37716,600,18102,807,1989,6
8-10hrs,55780,36139,345,18081,595,1415,8
10-12hrs,54667,35914,256,17639,470,986,10
12-14hrs,59812,40668,173,18219,390,721,12
14-16hrs,51361,35925,132,14734,313,527,14
16-18hrs,29443,21418,115,7529,222,310,16
18-20hrs,16111,11844,89,3918,151,238,18
