gene.name,F10,F11,F12,U13,F14A,U14A,F14B,F14B_r2,F14C,F14C_r2,F14D,U14D,M10,M11,M12,M13,M14A,M14A_r2,M14B,M14B_r2,M14C,M14C_r2,M14D,M14D_r2
FBgn0000003,1.76977173924945,3.15380533607904,3.09592441999854,2.77820857639809,2.54101915313356,1.54596836910529,1.85996954822103,0.863938450423972,1.9560566524124,1.83592407425438,1.46466826700344,0.895302621333307,3.91073266190291,1.08406426478847,2.78031009904338,2.12763327972587,3.16992500144231,1.29278174922785,1.74846123300404,2.15704371014558,4.14812063112396,4.11852584893567,,
FBgn0000008,4.8972404255748,4.81557542886257,2.77188557851537,1.65535182861255,0.970853654340484,0.790772037862,1.14404636961671,2.25701061820602,1.87970576628229,2.58976348698498,2.99819550315325,4.53915881110803,5.0746766862945,4.44161626940656,3.8972404255748,1.77399632511117,1.93357263826102,1.04264433740849,1.38956681176273,2.07382023329167,1.65992455840238,2.44095219802964,2.70708299177171,4.41818994794577
FBgn0000014,0.150559676575381,0.367371065648529,0.344828496997441,0.0976107966264223,0.20163386116965,0.367371065648529,0.584962500721156,1.70043971814109,1.6915341649192,2.20163386116965,2.03210084316702,0.070389327891398,0.150559676575381,0.22650852980868,0.516015147003665,0.137503523749935,0.124328135002202,0.214124805352847,0.333423733725192,2.07382023329167,1.9297909977186,1.96716860753263,1.71369581484336,
FBgn0000015,0,0,0.0426443374084937,0.0143552929770701,0.0565835283663675,0.150559676575381,0.0285691521967709,1.14404636961671,0.669026765509631,2.12763327972587,1.87578006306849,0,0,0,0.0143552929770701,0.0565835283663675,0.16349873228288,0.124328135002202,0.0840642647884746,1.13093086982645,0.863938450423972,1.4276061727819,1.72683121703249,
FBgn0000017,5.66419836929191,5.73687542290827,5.43028527297778,5.47767732756531,5.19179950106508,5.27724089833207,6.43045255166553,3.01613970265525,5.45187047886432,2.15380533607904,2.92219784839637,5.60792206726114,6.33145442828201,5.88923015239289,5.9797967182782,5.43862553808838,5.93640237772506,5.06738057801906,5.91528186586766,2.11103131238874,5.30961277245412,2.31614574229336,2.04264433740849,
FBgn0000018,3.80219321694183,4.21334728173344,3.70376517879341,3.48542682717024,2.68706068833989,2.10768786931437,2.91073266190291,2.19534759832222,2.74631276642546,2.61117238004401,2.60880924267552,4.01077983875324,3.4154882710497,4.02680005934372,3.94579495674006,2.96901230751632,3.41278152533848,2.4594316186373,3.11769504266975,2.03210084316702,2.17312743348066,2.52356195605701,2.76128527336162,0
FBgn0000022,3.23572705983806,5.36036427654347,3.43562859405209,3.854993016757,2.50589092972996,3.46988597627446,3.78868571061353,2.52606881166759,1.71808758396052,2.08746284125034,1.56071495447448,0.687060688339892,2.13422093976063,4.17791779219584,3.93357263826102,2.57531233068744,1.98913900736823,1.23266075679028,2.37016428054021,1.16349873228288,1.4905701304462,1.92219784839637,2.37016428054021,
FBgn0000024,0.0143552929770701,0,0.0285691521967709,0,0.0143552929770701,0.0143552929770701,0.0143552929770701,1.77399632511117,0.0426443374084937,0.0143552929770701,2.64154602908752,0.124328135002202,0,0.0143552929770701,0.0426443374084937,0.356143810225275,0,0,0.0426443374084937,1.41683974191283,0,0,0,
FBgn0000028,0,0,0,0,0.070389327891398,0.0840642647884746,0.176322772640463,0.0426443374084937,0.0285691521967709,0.214124805352847,0.0976107966264223,0,0,0,0,0,0,0,0.0426443374084937,0.070389327891398,0,0.0285691521967709,,
FBgn0000032,6.29609026268396,6.95349806319689,6.71589337054761,5.14486214291573,4.6450098843911,4.19613488076516,4.09676785471469,1.09085343045111,1.92599941855622,0.7311832415722,1.02856915219677,6.78319470337615,5.97108365753601,6.82883464946806,6.9386386584728,5.70791125418517,5.13010717865883,3.06004738366994,4.71644223684332,1.06350294230616,1.6915341649192,1.02147972741045,0.871843648509318,6.53977919169849
FBgn0000036,0,0,0,0,0,0.0285691521967709,0,0,0,0,0,0,0,0,0,0.070389327891398,0,0.0285691521967709,0,0,0,0,,
FBgn0000037,0,0,0,0,0,0.070389327891398,0.0426443374084937,0.0565835283663675,0.0565835283663675,0.111031312388744,0,0,0.0285691521967709,0.0426443374084937,0.0285691521967709,0,0.0285691521967709,0,0,0.903038270112912,0.0143552929770701,0.0285691521967709,,
FBgn0000038,0,0.0565835283663675,0.0285691521967709,0,0.0285691521967709,0.0976107966264223,0,0.238786859587117,0.0840642647884746,0,0,0,0,0,0,0.0565835283663675,0.0565835283663675,0.137503523749935,0,0,0,0,,
FBgn0000039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124328135002202,0,0,0,0,0,0,0,,
FBgn0000042,11.4607630378587,11.4166814318929,11.458934581966,11.3656608274394,11.4075386425213,11.4081280253729,11.606604159489,11.4948005950668,11.4758803271259,11.3304239477817,11.4956801744412,11.4357431750888,11.4844251670494,11.5833648836674,11.5828617379682,11.4693721769615,11.4446525742296,11.1693425460395,11.5394544945068,11.197149103599,11.3871611040591,11.3125199674749,11.2709084875677,11.3708290542003
FBgn0000043,7.70120248019052,7.94462422305503,7.92130540448011,8.03188036558718,8.08634856561582,7.97418511707705,8.24844944683139,8.40040984372748,8.41658643754191,8.46854258994595,8.46192957976417,7.70929063572336,7.73836252845622,7.81487081588598,7.9297909977186,8.18055567046571,8.09703132697301,8.05685444175061,8.21305560230915,8.28512475082776,8.35464609608538,8.26110764789089,8.24939793313549,
FBgn0000044,4.34056226902641,4.21179097625254,3.69488019279919,4.49505552836802,4.01703108052784,4.64443315240625,4.21256933885081,4.71808758396052,4.06177619758669,4.43895814789755,4.20476675065461,4.33771109212829,4.80992886572143,4.18269229751619,4.28392177230762,4.72027846523333,4.34624777408278,4.41481206056585,4.30158764660319,3.68481873755322,4.49825086752783,4.37573453858316,4.11353381959191,
FBgn0000045,0.871843648509318,0.871843648509318,0.782408564927373,0.622930350920177,0.6959938131099,0.7311832415722,0.659924558402378,0.895302621333307,1.16992500144231,0.765534746362977,0.565597175854225,0.55581615506164,0.887525270741588,0.903038270112912,0.739848102699328,0.650764559116902,0.526068811667588,0.75702324650746,0.594548549550354,0.941106310946431,0.632268215499513,0.669026765509631,,
FBgn0000046,6.59469782732387,6.05593312860741,6.11956368441736,6.18269229751619,6.03694284479826,6.50858711208948,6.09634619899318,6.46890909211059,6.06931549454008,6.10873352786627,6.17891378466957,6.14302600388997,6.75755668893945,6.22631584933549,6.21412480535285,6.36439733732132,6.12122266984196,6.14404636961671,6.13134253912326,5.83743871485637,6.15643706844869,6.29719141656586,6.0746766862945,
FBgn0000047,1.88362081628567,1.8073549220576,1.09761079662642,2.39231742277876,1.38956681176273,2.12101540096137,1.4594316186373,1.79493566280354,1.43829285157915,1.83995958748953,1.4905701304462,1.96347412397489,2.47248777146274,1.56559717585423,1.95233356636969,2.16027483140859,1.84398384404833,1.85598969730848,1.61823865559545,1.02856915219677,1.81557542886257,1.97085365434048,1.51096191927738,
FBgn0000052,5.08023127201926,5.17232749165762,3.84599177066457,2.4276061727819,1.55090066464752,1.89917563048051,2.51096191927738,1.87970576628229,1.83187724119167,1.67807190511264,2.28095631383106,5.27761287075669,5.42155994490182,4.89869207256049,4.31686980506433,2.74631276642546,2.91073266190291,1.790772037862,2.43829285157915,1.97085365434048,2.14404636961671,2.15704371014558,1.79493566280354,
FBgn0000053,3.8923910259134,3.94204525991605,3.51601514700366,3.61353165291793,3.82984955984469,3.96347412397489,3.81455042346181,4.16510798514454,3.75808993420181,3.42894634476948,3.61470984411521,4.47767732756531,4.31179371775365,4.10601323762212,3.74092756031863,3.61235249875266,3.94953493301701,3.57167680997093,3.57046293102604,3.12267271882414,4.02147972741045,4.00090140274153,2.90303827011291,3.93545974780529
FBgn0000055,6.51333282374013,5.2637856138908,3.34340782229781,1.74416109557041,2.01435529297707,2.68706068833989,1.90689059560852,1.62760683812965,1.25096157353322,1.55581615506164,1.29865831556452,7.2348653206143,6.50207595604579,5.00943675560809,3.78555055173926,1.76977173924945,2.38681094647222,1.52105073690096,1.24488705912353,1.18269229751619,1.47508488294878,1.37851162325373,1.61353165291793,7.26124871746687
FBgn0000056,0,0,0,0.250961573533219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124328135002202,0.298658315564515,0.250961573533219,0,,
FBgn0000057,3.50080205305716,3.47118746038699,2.46988597627446,2.28392177230762,1.67355642399014,1.63226821549951,2.0703893278914,1.62293035092018,1.09085343045111,1.38404980679516,1.87184364850932,3.4905701304462,3.50969584193339,3.14241343787374,3.07382023329167,1.98550043030489,2.30158764660319,1.67807190511264,2.11103131238874,1.53605290024021,1.51601514700367,1.55090066464752,1.59931779369823,
FBgn0000061,0,0,0.0426443374084937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426443374084937,,
FBgn0000071,0,0,1.46988597627446,3.61353165291793,4.69376571221778,5.20006486151431,5.58556349845569,8.21183963621986,7.52442417908394,8.51601514700366,8.39351916798851,0,0,0.443606651475615,1.16349873228288,2.78240856492737,3.4944156103975,5.59723318908613,4.31324585178756,8.46176591147608,7.36553507498419,8.51747255410105,8.27458781512626,
FBgn0000075,0,0,0,0.16349873228288,0.0840642647884746,0.310340120612151,0.782408564927373,0.790772037862,1.25096157353322,1.88362081628567,0.0565835283663675,0,0,0.22650852980868,0.111031312388744,0,0.565597175854225,0.176322772640463,1.77820857639809,0.575312330687437,2.93357263826102,1.29278174922785,0,0
