reads.numb,expressed.gene.numb,sample.id
10.244611,9755,embryo2-3h_E1_1_D2
10.45111,9786,embryo2-3h_E1_1_C6
9.736234,9858,embryo2-3h_E1_1_B12
8.698642,9485,embryo2-3h_E1_1_D4
10.361972,9874,embryo2-3h_E1_1_A2
5.300356,8989,embryo2-3h_E1_1_D12
6.757203,8436,embryo2-3h_E1_2_E10
7.450208,8726,embryo2-3h_E1_2_H5
9.530932,8773,embryo2-3h_E1_2_F3
0.774698,7009,embryo2-3h_E1_2_F2
2.029055,6891,embryo2-3h_E1_2_H11
11.046864,9620,embryo2-3h_E1_2_G10
3.594143,8513,embryo2-3h_E1_2_F7
9.680914,10317,embryo2-3h_E2_B6
3.399098,8262,embryo2-3h_E2_E11
10.776755,10131,embryo2-3h_E2_D10
6.857029,9654,embryo2-3h_E2_D6
11.483543,10327,embryo2-3h_E2_H1
2.624691,8130,embryo2-3h_E2_E10
10.386499,9949,embryo2-3h_E2_D2
7.192059,9768,embryo2-3h_E2_E1
12.999792,10404,embryo2-3h_E2_C12
2.110319,8350,embryo2-3h_E2_H11
4.981384,7791,embryo2-3h_E3_C9
1.185013,5711,embryo2-3h_E3_F4
5.186333,8639,embryo2-3h_E3_A12
5.902271,7967,embryo2-3h_E3_C1
4.053217,7516,embryo2-3h_E3_A10
17.218846,9836,embryo2-3h_E3_D3
2.678456,6915,embryo2-3h_E3_C8
4.540732,7886,embryo2-3h_E3_A7
5.805593,8069,embryo2-3h_E3_A8
3.006319,7576,embryo2-3h_E3_B2
1.43737,6406,embryo2-3h_E3_F5
10.626068,10124,embryo5-6h_E1_1_D9
8.114651,9558,embryo5-6h_E1_1_B7
4.911326,9023,embryo5-6h_E1_1_D10
8.235265,10266,embryo5-6h_E1_1_B10
14.74706,10893,embryo5-6h_E1_1_C10
6.724344,8593,embryo5-6h_E1_2_E2
8.24071,9420,embryo5-6h_E1_2_G11
4.371629,8586,embryo5-6h_E1_2_E6
12.746622,9742,embryo5-6h_E1_2_H7
3.897441,9191,embryo5-6h_E2_G9
14.56724,10730,embryo5-6h_E2_B8
2.05678,7851,embryo5-6h_E2_B3
10.634129,10244,embryo5-6h_E2_A9
9.061423,10262,embryo5-6h_E2_D7
9.471535,10146,embryo5-6h_E2_A11
6.395819,9647,embryo5-6h_E2_D9
7.499524,9863,embryo5-6h_E2_A4
16.850956,10880,embryo5-6h_E2_B7
5.741929,9481,embryo5-6h_E2_A7
11.157328,10231,embryo5-6h_E2_F10
1.846965,7587,embryo5-6h_E2_G4
7.947454,9917,embryo5-6h_E2_H8
5.071454,8504,embryo5-6h_E2_H7
6.327145,9801,embryo5-6h_E2_A3
3.641792,9140,embryo5-6h_E2_E12
3.079964,6440,embryo5-6h_E3_D1
4.468015,8198,embryo5-6h_E3_D6
2.880796,7490,embryo5-6h_E3_B9
0.505965,5787,embryo5-6h_E3_G7
5.348583,8424,embryo5-6h_E3_A2
2.162362,7088,embryo5-6h_E3_D5
1.57656,6823,embryo5-6h_E3_E4
2.062234,7279,embryo5-6h_E3_B1
2.363107,7450,embryo5-6h_E3_D4
6.209198,9647,embryo8-9h_E1_1_D5
8.478649,9388,embryo8-9h_E1_1_C3
7.912908,9962,embryo8-9h_E1_1_C8
5.133342,9370,embryo8-9h_E1_1_B8
9.72521,9656,embryo8-9h_E1_1_A12
12.053028,10605,embryo8-9h_E1_1_D7
3.171945,8948,embryo8-9h_E1_1_B9
7.3501,9807,embryo8-9h_E1_1_C11
8.750434,10087,embryo8-9h_E1_1_C4
9.221526,10062,embryo8-9h_E1_1_A3
4.569436,8888,embryo8-9h_E1_1_C5
3.648193,8186,embryo8-9h_E1_2_H10
1.987583,7539,embryo8-9h_E1_2_E9
5.004396,8630,embryo8-9h_E1_2_E1
3.981084,7976,embryo8-9h_E1_2_H4
5.752793,8933,embryo8-9h_E1_2_H9
2.220379,7653,embryo8-9h_E1_2_G5
2.5416,7530,embryo8-9h_E1_2_H12
0.702351,6315,embryo8-9h_E1_2_G7
3.656797,8274,embryo8-9h_E1_2_F8
3.698163,8948,embryo8-9h_E2_A10
3.039066,8415,embryo8-9h_E2_G5
1.901262,7973,embryo8-9h_E2_H12
13.240332,10811,embryo8-9h_E2_C10
2.217312,8257,embryo8-9h_E2_E7
11.970014,10622,embryo8-9h_E2_E4
4.398633,9354,embryo8-9h_E2_B2
3.773399,9048,embryo8-9h_E2_H9
6.039677,9642,embryo8-9h_E2_F2
5.027052,8883,embryo8-9h_E2_D4
5.475348,9351,embryo8-9h_E2_A6
4.821831,8492,embryo8-9h_E3_B3
2.499589,7934,embryo8-9h_E3_D7
0.766051,4986,embryo8-9h_E3_F8
15.222982,10550,embryo8-9h_E3_H1
1.657008,6986,embryo8-9h_E3_E12
13.654038,9965,embryo11-12h_E1_1_D1
7.991944,10063,embryo11-12h_E1_1_C9
6.56008,8920,embryo11-12h_E1_1_A4
9.246959,10201,embryo11-12h_E1_1_A7
3.819386,8996,embryo11-12h_E1_1_D6
5.264819,8776,embryo11-12h_E1_1_B5
11.703286,10268,embryo11-12h_E1_1_C7
2.953379,7573,embryo11-12h_E1_1_A5
14.933965,10262,embryo11-12h_E1_1_A6
2.37932,7397,embryo11-12h_E1_1_A1
4.085373,7917,embryo11-12h_E1_1_A11
4.574299,9029,embryo11-12h_E1_2_E8
3.244077,7578,embryo11-12h_E1_2_E5
2.274841,7678,embryo11-12h_E1_2_F6
7.993108,10141,embryo11-12h_E2_B9
9.322211,10169,embryo11-12h_E2_B10
15.712659,10983,embryo11-12h_E2_A8
1.553089,7863,embryo11-12h_E2_F11
0.584308,5961,embryo11-12h_E2_F12
4.538269,8505,embryo11-12h_E2_G10
0.854818,4641,embryo11-12h_E3_B8
3.573114,8311,embryo11-12h_E3_A9
0.893159,5988,embryo11-12h_E3_A1
2.098316,7165,embryo11-12h_E3_C5
3.673858,8201,embryo11-12h_E3_B11
3.709267,8946,embryo14-15h_E1_1_D8
9.60638,10306,embryo14-15h_E1_1_B11
16.400426,10908,embryo14-15h_E1_1_B1
7.126294,9909,embryo14-15h_E1_1_A8
7.588519,9922,embryo14-15h_E1_1_A9
14.690342,10709,embryo14-15h_E1_1_C12
6.776211,9749,embryo14-15h_E1_1_D11
12.826537,10731,embryo14-15h_E1_1_B4
2.449283,8013,embryo14-15h_E1_2_G1
15.665851,9425,embryo14-15h_E1_2_E4
8.685321,9451,embryo14-15h_E1_2_F10
4.904412,9576,embryo14-15h_E1_2_E7
7.100244,9324,embryo14-15h_E1_2_F9
3.281702,8511,embryo14-15h_E1_2_G8
8.179752,9008,embryo14-15h_E1_2_E12
2.101754,8310,embryo14-15h_E2_D1
2.620925,8496,embryo14-15h_E2_E9
4.918887,8511,embryo14-15h_E2_C6
2.520149,7810,embryo14-15h_E2_G8
6.67603,8825,embryo14-15h_E2_D8
7.611925,10043,embryo14-15h_E2_C3
1.137651,7363,embryo14-15h_E2_G6
4.05783,8425,embryo14-15h_E3_C10
1.736858,7203,embryo14-15h_E3_A5
2.109876,7376,embryo14-15h_E3_C3
2.121322,7129,embryo14-15h_E3_B4
