SYMBOL,tau,tissue,current_symbol,submitted_item,validated_id,FBID_KEY,ANNOTATION_SYMBOL,LOCATION_ARM,LOCATION_MAX,LOCATION_MIN,LOCATION_STRAND,NAME,group
128up,0.729619363805008,ovary,128up,128up,FBgn0010339,FBgn0010339,CG8340,2R,12038851,12037298,1,upstream of RpIII128,"(0.7,0.75]"
14-3-3epsilon,0.285371725037338,testis,14-3-3epsilon,14-3-3epsilon,FBgn0020238,FBgn0020238,CG31196,3R,18250550,18242531,1,14-3-3epsilon,"(0.25,0.3]"
14-3-3zeta,0.303665078406764,wing,14-3-3zeta,14-3-3zeta,FBgn0004907,FBgn0004907,CG17870,2R,10109687,10099677,1,14-3-3zeta,"(0.3,0.35]"
140up,0.636225779429875,testis,140up,140up,FBgn0010340,FBgn0010340,CG9852,3R,14125548,14124163,-1,upstream of RpII140,"(0.6,0.65]"
18SrRNA-Psi:CR41602,0.763992023861555,malpighian.tubule,18SrRNA-Psi:CR41602,18SrRNA-Psi:CR41602,FBgn0085813,FBgn0085813,CR41602,X,23213166,23211192,1,18S ribosomal RNA pseudogene:CR41602,"(0.75,0.8]"
18w,0.651558827861605,haltere,18w,18w,FBgn0287775,FBgn0287775,CG8896,2R,20116932,20111511,1,18 wheeler,"(0.65,0.7]"
26-29-p,0.84612186136511,ovary,26-29-p,26-29-p,FBgn0250848,FBgn0250848,CG8947,3L,13996571,13994231,1,26-29kD-proteinase,"(0.8,0.85]"
28SrRNA-Psi:CR40596,0.841161938961364,malpighian.tubule,28SrRNA-Psi:CR40596,28SrRNA-Psi:CR40596,FBgn0085753,FBgn0085753,CR40596,rDNA,22940,16936,1,28S ribosomal RNA pseudogene:CR40596,"(0.8,0.85]"
28SrRNA-Psi:CR40741,0.718873831511608,gut,28SrRNA-Psi:CR40741,28SrRNA-Psi:CR40741,FBgn0085771,FBgn0085771,CR40741,X,23240975,23239718,1,28S ribosomal RNA pseudogene:CR40741,"(0.7,0.75]"
28SrRNA-Psi:CR41609,0.736304417903444,gut,28SrRNA-Psi:CR41609,28SrRNA-Psi:CR41609,FBgn0085819,FBgn0085819,CR41609,X,23262666,23261772,-1,28S ribosomal RNA pseudogene:CR41609,"(0.7,0.75]"
28SrRNA-Psi:CR45848,0.709309067430337,gut,28SrRNA-Psi:CR45848,28SrRNA-Psi:CR45848,FBgn0267508,FBgn0267508,CR45848,rDNA,5312,4492,-1,28S ribosomal RNA pseudogene:CR45848,"(0.7,0.75]"
28SrRNA-Psi:CR45851,0.97250647031067,fat.body,28SrRNA-Psi:CR45851,28SrRNA-Psi:CR45851,FBgn0267511,FBgn0267511,CR45851,rDNA,38740,35941,1,28S ribosomal RNA pseudogene:CR45851,"(0.95,1]"
28SrRNA-Psi:CR45853,0.671946480365981,haltere,28SrRNA-Psi:CR45853,28SrRNA-Psi:CR45853,FBgn0267513,FBgn0267513,CR45853,X,23201056,23200802,1,28S ribosomal RNA pseudogene:CR45853,"(0.65,0.7]"
28SrRNA-Psi:CR45855,0.639768237330987,gut,28SrRNA-Psi:CR45855,28SrRNA-Psi:CR45855,FBgn0267515,FBgn0267515,CR45855,X,23206525,23205822,1,28S ribosomal RNA pseudogene:CR45855,"(0.6,0.65]"
28SrRNA-Psi:CR45859,0.74562879222542,haltere,28SrRNA-Psi:CR45859,28SrRNA-Psi:CR45859,FBgn0267519,FBgn0267519,CR45859,X,23217140,23214452,1,28S ribosomal RNA pseudogene:CR45859,"(0.7,0.75]"
28SrRNA-Psi:CR45860,0.746204322499246,malpighian.tubule,28SrRNA-Psi:CR45860,28SrRNA-Psi:CR45860,FBgn0267520,FBgn0267520,CR45860,X,23271158,23270802,-1,28S ribosomal RNA pseudogene:CR45860,"(0.7,0.75]"
2mit,0.90394791056276,head,2mit,2mit,FBgn0260793,FBgn0260793,CG42573,3R,13155687,13121951,-1,2mit,"(0.9,0.95]"
4E-T,0.412105861900264,malpighian.tubule,4E-T,4E-T,FBgn0052016,FBgn0052016,CG32016,4,958392,951542,-1,eIF4E-Transporter,"(0.4,0.45]"
5-HT1A,0.844043956887311,head,5-HT1A,5-HT1A,FBgn0004168,FBgn0004168,CG16720,2R,19121958,19067155,1,5-hydroxytryptamine (serotonin) receptor 1A,"(0.8,0.85]"
5-HT1B,0.82943339730955,wing,5-HT1B,5-HT1B,FBgn0263116,FBgn0263116,CG15113,2R,19032642,19022325,-1,5-hydroxytryptamine (serotonin) receptor 1B,"(0.8,0.85]"
5-HT2A,0.804552944463955,head,5-HT2A,5-HT2A,FBgn0087012,FBgn0087012,CG1056,3R,4633304,4612870,1,5-hydroxytryptamine (serotonin) receptor 2A,"(0.8,0.85]"
5-HT2B,0.903107876670663,antenna,5-HT2B,5-HT2B,FBgn0261929,FBgn0261929,CG42796,3R,8629996,8578205,1,5-hydroxytryptamine (serotonin) receptor 2B,"(0.9,0.95]"
5-HT7,0.621059427050283,male.reproductive.glands,5-HT7,5-HT7,FBgn0004573,FBgn0004573,CG12073,3R,31016875,30968236,-1,5-hydroxytryptamine (serotonin) receptor 7,"(0.6,0.65]"
5.8SrRNA-Psi:CR45849,0.835431000187163,haltere,5.8SrRNA-Psi:CR45849,5.8SrRNA-Psi:CR45849,FBgn0267509,FBgn0267509,CR45849,rDNA,16497,16375,1,5.8S ribosomal RNA pseudogene:CR45849,"(0.8,0.85]"
5.8SrRNA-Psi:CR45854,1,fat.body,5.8SrRNA-Psi:CR45854,5.8SrRNA-Psi:CR45854,FBgn0267514,FBgn0267514,CR45854,X,23205380,23205258,1,5.8S ribosomal RNA pseudogene:CR45854,"(0.95,1]"
5.8SrRNA-Psi:CR45857,0.787351499962669,haltere,5.8SrRNA-Psi:CR45857,5.8SrRNA-Psi:CR45857,FBgn0267517,FBgn0267517,CR45857,X,23214011,23213889,1,5.8S ribosomal RNA pseudogene:CR45857,"(0.75,0.8]"
5.8SrRNA-Psi:CR45863,0.756234297204072,haltere,5.8SrRNA-Psi:CR45863,5.8SrRNA-Psi:CR45863,FBgn0267523,FBgn0267523,CR45863,X,23291671,23291549,1,5.8S ribosomal RNA pseudogene:CR45863,"(0.75,0.8]"
5PtaseI,0.343379118618095,trachea,5PtaseI,5PtaseI,FBgn0259178,FBgn0259178,CG42283,3R,25045151,25040427,-1,Inositol polyphosphate-5-phosphatase type I,"(0.3,0.35]"
7B2,0.875089641999479,head,7B2,7B2,FBgn0041707,FBgn0041707,CG1168,3R,5377975,5376780,1,7B2,"(0.85,0.9]"
7SLRNA:CR32864,1,fat.body,7SLRNA:CR32864,7SLRNA:CR32864,FBgn0000003,FBgn0000003,CR32864,3R,6822798,6822500,1,Signal recognition particle 7SL RNA CR32864,"(0.95,1]"
7SLRNA:CR42652,1,fat.body,7SLRNA:CR42652,7SLRNA:CR42652,FBgn0261504,FBgn0261504,CR42652,3R,6820429,6820131,-1,Signal recognition particle 7SL RNA CR42652,"(0.95,1]"
825-Oak,0.974788317996636,testis,825-Oak,825-Oak,FBgn0052208,FBgn0052208,CG32208,3L,19472228,19471656,-1,825-Oak,"(0.95,1]"
a,0.67158702211143,fat.body,a,a,FBgn0000008,FBgn0000008,CG6741,2R,22172834,22136968,1,arc,"(0.65,0.7]"
a10,0.990405295904798,antenna,a10,a10,FBgn0011293,FBgn0011293,CG6642,3L,17023741,17023123,-1,antennal protein 10,"(0.95,1]"
a5,0.994396861513849,antenna,a5,a5,FBgn0011294,FBgn0011294,CG5430,2L,1329993,1329161,1,antennal protein 5,"(0.95,1]"
a6,0.586871773141857,trachea,a6,a6,FBgn0023130,FBgn0023130,CG3771,X,1695889,1693615,-1,a6,"(0.55,0.6]"
AANATL2,0.756479239886138,malpighian.tubule,AANATL2,AANATL2,FBgn0031791,FBgn0031791,CG9486,2L,6256822,6255859,1,Arylalkylamine N-acetyltransferase-like 2,"(0.75,0.8]"
AANATL3,0.984669522212425,gut,AANATL3,AANATL3,FBgn0032839,FBgn0032839,CG10659,2L,20025811,20024975,-1,Arylalkylamine N-acetyltransferase-like 3,"(0.95,1]"
AANATL4,0.961863395790105,gut,AANATL4,AANATL4,FBgn0034429,FBgn0034429,CG18607,2R,19289852,19289109,1,Arylalkylamine N-acetyltransferase-like 4,"(0.95,1]"
AANATL6,1,testis,AANATL6,AANATL6,FBgn0034428,FBgn0034428,CG18606,2R,19288995,19287983,1,Arylalkylamine N-acetyltransferase-like 6,"(0.95,1]"
AANATL7,0.992969449733026,male.reproductive.glands,AANATL7,AANATL7,FBgn0040376,FBgn0040376,CG13759,X,2583823,2580958,1,Arylalkylamine N-acetyltransferase-like 7,"(0.95,1]"
