FLYBASE,query,SYMBOL,GENENAME,chromosome_name,start_position,end_position
FBgn0000003,7SLRNA,7SLRNA:CR32864,Signal recognition particle 7SL RNA CR32864,3R,6822500,6822798
FBgn0000008,a,a,arc,2R,22136968,22172834
FBgn0000014,abd-A,abd-A,abdominal A,3R,16807214,16830049
FBgn0000015,Abd-B,Abd-B,Abdominal B,3R,16927212,16972236
FBgn0000017,Abl,Abl,Abl tyrosine kinase,3L,16615866,16647882
FBgn0000018,abo,abo,abnormal oocyte,2L,10973443,10975293
FBgn0000022,ac,ac,achaete,X,370031,370947
FBgn0000024,Ace,Ace,Acetylcholine esterase,3R,13222951,13259517
FBgn0000028,acj6,acj6,abnormal chemosensory jump 6,X,15350239,15379064
FBgn0000032,Acph-1,Acph-1,Acid phosphatase 1,3R,29991144,29993411
FBgn0000036,nAcRalpha-96Aa,nAChRalpha1,nicotinic Acetylcholine Receptor alpha1,3R,24393896,24457157
FBgn0000037,mAcR-60C,mAChR-A,"muscarinic Acetylcholine Receptor, A-type",2R,24378630,24390294
FBgn0000038,nAcRbeta-64B,nAChRbeta1,nicotinic Acetylcholine Receptor beta1,3L,4429349,4435993
FBgn0000039,nAcRalpha-96Ab,nAChRalpha2,nicotinic Acetylcholine Receptor alpha2,3R,24485428,24491147
FBgn0000042,Act5C,Act5C,Actin 5C,X,5900861,5905399
FBgn0000043,Act42A,Act42A,Actin 42A,2R,6013910,6015689
FBgn0000044,Act57B,Act57B,Actin 57B,2R,20944021,20946431
FBgn0000045,Act79B,Act79B,Actin 79B,3L,21985210,21987190
FBgn0000046,Act87E,Act87E,Actin 87E,3R,13425983,13428375
FBgn0000047,Act88F,Act88F,Actin 88F,3R,15439969,15442177
FBgn0000052,ade2,Pfas,Phosphoribosylformylglycinamidine synthase,2L,6041181,6046050
FBgn0000053,ade3,Gart,GART trifunctional enzyme,2L,7014623,7023898
FBgn0000055,Adh,Adh,Alcohol dehydrogenase,2L,14615552,14618902
FBgn0000056,Adhr,Adhr,Adh-related,2L,14615552,14618902
FBgn0000057,adp,adp,adipose,2R,18151704,18154060
FBgn0000061,al,al,aristaless,2L,378112,387439
FBgn0000071,Ama,Ama,Amalgam,3R,6762593,6765261
FBgn0000075,amd,amd,alpha methyl dopa-resistant,2L,19110154,19114110
FBgn0000077,amx,amx,almondex,X,9245915,9247336
FBgn0000083,AnnIX,AnxB9,Annexin B9,3R,21065241,21070917
FBgn0000084,AnnX,AnxB10,Annexin B10,X,20171445,20173514
FBgn0000092,CG2650,dyw,daywake,X,2692732,2693886
FBgn0000094,Anp,Anp,Andropin,3R,30209948,30210382
FBgn0000097,aop,aop,anterior open,2L,2156484,2178754
FBgn0000100,RpLP0,RpLP0,Ribosomal protein LP0,3L,22075867,22077487
FBgn0000108,Appl,Appl,beta amyloid protein precursor-like,X,530501,579044
FBgn0000109,Aprt,Aprt,Adenine phosphoribosyltransferase,3L,1883795,1885019
FBgn0000115,Arf72A,Arl1,ADP ribosylation factor-like 1,3L,15983135,15984362
FBgn0000116,Argk,Argk,Arginine kinase,3L,9048781,9066027
FBgn0000117,arm,arm,armadillo,X,1891401,1900646
FBgn0000119,arr,arr,arrow,2R,13453640,13483229
FBgn0000120,Arr1,Arr1,Arrestin 1,2L,18078269,18081307
FBgn0000121,Arr2,Arr2,Arrestin 2,3L,8647261,8648936
FBgn0000137,ase,ase,asense,X,460747,463176
FBgn0000139,ash2,ash2,"absent, small, or homeotic discs 2",3R,24650125,24653376
FBgn0000140,asp,asp,abnormal spindle,3R,24753849,24760513
FBgn0000146,aub,aub,aubergine,2L,10997819,11001476
FBgn0000147,aur,aurA,aurora A,3R,11963124,11964826
FBgn0000150,awd,awd,abnormal wing discs,3R,31745172,31746077
FBgn0000152,Axs,Axs,Abnormal X segregation,X,16680089,16683895
FBgn0000153,b,b,black,2L,13821248,13823979
FBgn0000157,Dll,Dll,Distal-less,2R,24814822,24835667
FBgn0000158,bam,bam,bag of marbles,3R,25243039,25245109
FBgn0000163,baz,baz,bazooka,X,17160006,17200728
FBgn0000166,bcd,bcd,bicoid,3R,6755842,6759466
FBgn0000173,ben,ben,bendless,X,13996345,13999805
FBgn0000179,bi,bi,bifid,X,4412856,4485647
FBgn0000180,bib,bib,big brain,2L,9984645,9995538
FBgn0000181,bic,bic,bicaudal,2R,12870249,12871794
FBgn0000182,BicC,BicC,Bicaudal C,2L,16042047,16048757
FBgn0000183,BicD,BicD,Bicaudal D,2L,17459605,17473215
FBgn0000193,bl,Bl,Bristle,,,
FBgn0000206,boss,boss,bride of sevenless,3R,25961994,25966948
FBgn0000212,brm,brm,brahma,3L,15970082,15982869
FBgn0000216,Brd,Brd,Bearded,3L,14972667,14973198
FBgn0000221,brn,brn,brainiac,X,4104342,4105791
FBgn0000227,Bsg25A,Bsg25A,Blastoderm-specific gene 25A,2L,4683052,4684461
FBgn0000228,Bsg25D,Bsg25D,Blastoderm-specific gene 25D,2L,5271728,5278548
FBgn0000229,bsk,bsk,basket,2L,10247502,10250501
FBgn0000233,btd,btd,buttonhead,X,9694186,9697558
FBgn0000239,bur,bur,burgundy,2L,21174182,21179683
