ensembl_id,gene_age,gene_Interval
FBgn0003187,886,824-948
FBgn0261998,3,0-6
FBgn0052029,505,480-530
FBgn0011476,505,480-530
FBgn0028540,505,480-530
FBgn0264253,22,11-34
FBgn0259994,748,743-753
FBgn0035889,556,530-583
FBgn0035034,987,952-1023
FBgn0037462,987,952-1023
FBgn0037461,987,952-1023
FBgn0029995,987,952-1023
FBgn0037460,987,952-1023
FBgn0038089,35,34-37
FBgn0038302,35,34-37
FBgn0038042,35,34-37
FBgn0033665,35,34-37
FBgn0034247,810,797-824
FBgn0028560,810,797-824
FBgn0036316,810,797-824
FBgn0029667,810,797-824
FBgn0039273,950,948-952
FBgn0032650,91,50-132
FBgn0035877,91,50-132
FBgn0033366,950,948-952
FBgn0035076,950,948-952
FBgn0024371,987,952-1023
FBgn0050000,>4290,>4290
FBgn0031117,>4290,>4290
FBgn0050005,>4290,>4290
FBgn0034566,987,952-1023
FBgn0039869,987,952-1023
FBgn0020272,987,952-1023
FBgn0083983,987,952-1023
FBgn0039501,987,952-1023
FBgn0030746,91,50-132
FBgn0030747,950,948-952
FBgn0038017,556,530-583
FBgn0031730,987,952-1023
FBgn0015270,987,952-1023
FBgn0037998,987,952-1023
FBgn0015808,987,952-1023
FBgn0031645,3,0-6
FBgn0030452,987,952-1023
FBgn0283472,987,952-1023
FBgn0033188,1488,1480-1496
FBgn0042179,317,310-325
FBgn0030973,987,952-1023
FBgn0032169,987,952-1023
FBgn0035538,810,797-824
FBgn0261386,810,797-824
FBgn0040038,886,824-948
FBgn0052654,886,824-948
FBgn0261722,886,824-948
FBgn0032746,886,824-948
FBgn0021760,886,824-948
FBgn0028997,1064,1023-1105
FBgn0039856,886,824-948
FBgn0039855,886,824-948
FBgn0031844,886,824-948
FBgn0039854,886,824-948
FBgn0000489,>4290,>4290
FBgn0038672,>4290,>4290
FBgn0010808,>4290,>4290
FBgn0027524,987,952-1023
FBgn0011829,987,952-1023
FBgn0034050,987,952-1023
FBgn0026702,1488,1480-1496
FBgn0028743,950,948-952
FBgn0037039,3,0-6
FBgn0050093,91,50-132
FBgn0036830,91,50-132
FBgn0263830,886,824-948
FBgn0030332,886,824-948
FBgn0038878,886,824-948
FBgn0031775,886,824-948
FBgn0030073,886,824-948
FBgn0026268,886,824-948
FBgn0069973,886,824-948
FBgn0036380,886,824-948
FBgn0035333,886,824-948
FBgn0020907,886,824-948
FBgn0261987,317,310-325
FBgn0035589,91,50-132
FBgn0037818,1064,1023-1105
FBgn0039049,1064,1023-1105
FBgn0039052,1064,1023-1105
FBgn0039051,1064,1023-1105
FBgn0039053,1064,1023-1105
FBgn0039050,1064,1023-1105
FBgn0010109,950,948-952
FBgn0032329,556,530-583
FBgn0037843,1292,1105-1480
FBgn0039532,987,952-1023
FBgn0039930,1488,1480-1496
FBgn0016070,1488,1480-1496
FBgn0034197,202,132-272
FBgn0021995,>4290,>4290
FBgn0035256,987,952-1023
FBgn0263988,987,952-1023
FBgn0027079,>4290,>4290
FBgn0027866,>4290,>4290
FBgn0038110,>4290,>4290
FBgn0040285,>4290,>4290
FBgn0029853,>4290,>4290
FBgn0031069,1064,1023-1105
FBgn0030311,1064,1023-1105
FBgn0260941,1488,1480-1496
FBgn0010501,987,952-1023
FBgn0019972,987,952-1023
FBgn0031413,987,952-1023
FBgn0035149,987,952-1023
FBgn0010638,987,952-1023
FBgn0261397,>4290,>4290
FBgn0064115,>4290,>4290
FBgn0261509,950,948-952
FBgn0039183,>4290,>4290
FBgn0263219,987,952-1023
FBgn0031866,1064,1023-1105
FBgn0039407,1064,1023-1105
FBgn0033341,1064,1023-1105
FBgn0033349,22,11-34
FBgn0285944,810,797-824
FBgn0053526,987,952-1023
FBgn0032818,950,948-952
FBgn0037838,987,952-1023
