ensembl_gene_id,rnorvegicus_homolog_ensembl_gene,rnorvegicus_homolog_dn,rnorvegicus_homolog_ds,rnorvegicus_homolog_orthology_type,rnorvegicus_homolog_orthology_confidence
ENSMUSG00000033970,ENSRNOG00000001088,0.0081,0.3328,ortholog_one2one,1
ENSMUSG00000000632,ENSRNOG00000009350,0.0154,0.1757,ortholog_one2one,1
ENSMUSG00000055730,ENSRNOG00000011330,0.0674,0.1712,ortholog_one2many,0
ENSMUSG00000055730,ENSRNOG00000012034,0.0665,0.1896,ortholog_one2many,0
ENSMUSG00000055730,ENSRNOG00000029744,0.1276,0.2448,ortholog_one2many,0
ENSMUSG00000036097,ENSRNOG00000014482,0.0245,0.1205,ortholog_one2one,1
ENSMUSG00000055447,ENSRNOG00000001964,0.069,0.2036,ortholog_one2one,1
ENSMUSG00000027887,ENSRNOG00000019780,0.0115,0.0963,ortholog_one2one,1
ENSMUSG00000017670,ENSRNOG00000018747,0.0062,0.2195,ortholog_one2one,1
ENSMUSG00000006356,ENSRNOG00000005041,0.0021,0.2315,ortholog_one2one,1
ENSMUSG00000055491,ENSRNOG00000018561,0.0621,0.1732,ortholog_one2one,1
ENSMUSG00000034083,ENSRNOG00000010090,0.0342,0.152,ortholog_one2one,1
ENSMUSG00000067787,ENSRNOG00000024437,0,0,ortholog_one2one,1
ENSMUSG00000036144,ENSRNOG00000006588,0.003,0.1542,ortholog_one2one,1
ENSMUSG00000050860,ENSRNOG00000005569,0,0,ortholog_one2one,1
ENSMUSG00000042446,ENSRNOG00000012397,0.0105,0.1675,ortholog_one2one,1
ENSMUSG00000025469,ENSRNOG00000046776,0.0157,0.2482,ortholog_one2one,1
ENSMUSG00000021534,ENSRNOG00000047406,0.0895,0.2712,ortholog_one2one,1
ENSMUSG00000020482,ENSRNOG00000010706,0.0469,0.1351,ortholog_one2one,1
ENSMUSG00000059278,ENSRNOG00000009823,0.0037,0.1162,ortholog_one2one,1
ENSMUSG00000018381,ENSRNOG00000005575,0.0276,0.1561,ortholog_one2one,1
ENSMUSG00000026697,ENSRNOG00000003221,0.034,0.2329,ortholog_one2one,1
ENSMUSG00000047361,ENSRNOG00000022723,0.1004,0.1717,ortholog_one2one,1
ENSMUSG00000029401,ENSRNOG00000001061,0.0217,0.224,ortholog_one2one,1
ENSMUSG00000043310,ENSRNOG00000015444,0.0359,0.1694,ortholog_one2one,1
ENSMUSG00000001755,ENSRNOG00000019918,0.0222,0.168,ortholog_one2one,1
ENSMUSG00000028687,ENSRNOG00000017887,0.0528,0.2043,ortholog_one2one,1
ENSMUSG00000044795,ENSRNOG00000045742,0.0444,0.1822,ortholog_one2one,1
ENSMUSG00000026209,ENSRNOG00000019772,0.0129,0.1675,ortholog_one2one,1
ENSMUSG00000067750,ENSRNOG00000028595,0.2015,0.3285,ortholog_one2many,0
ENSMUSG00000027225,ENSRNOG00000017805,0.0521,0.2199,ortholog_one2one,1
ENSMUSG00000034723,ENSRNOG00000024852,0.0467,0.1512,ortholog_one2one,1
ENSMUSG00000045377,ENSRNOG00000009870,0.0366,0.0747,ortholog_one2one,1
ENSMUSG00000075142,ENSRNOG00000005880,0.0591,0.1692,ortholog_one2one,1
ENSMUSG00000063334,ENSRNOG00000004035,0.0181,0.2469,ortholog_one2one,1
ENSMUSG00000029402,ENSRNOG00000001060,0.0093,0.1836,ortholog_one2one,1
ENSMUSG00000037514,ENSRNOG00000025286,0.0116,0.1438,ortholog_one2one,1
ENSMUSG00000052837,ENSRNOG00000042838,0.0013,0.0885,ortholog_one2one,1
ENSMUSG00000022468,ENSRNOG00000056446,0.081,0.5041,ortholog_one2one,0
ENSMUSG00000026963,ENSRNOG00000040275,0.0925,0.0945,ortholog_one2one,1
ENSMUSG00000061080,ENSRNOG00000031852,0.0034,0.0687,ortholog_one2one,1
ENSMUSG00000027224,ENSRNOG00000018005,0.0282,0.2149,ortholog_one2one,1
ENSMUSG00000052926,ENSRNOG00000003504,0.0366,0.1804,ortholog_one2one,1
ENSMUSG00000040187,ENSRNOG00000001830,0.1525,0.2733,ortholog_one2one,0
ENSMUSG00000020713,ENSRNOG00000011207,0.0169,0.1677,ortholog_one2one,1
ENSMUSG00000020658,ENSRNOG00000012950,0.0044,0.2108,ortholog_one2one,1
ENSMUSG00000026021,ENSRNOG00000016133,0,0,ortholog_one2one,1
ENSMUSG00000028863,ENSRNOG00000009309,0.0183,0.1822,ortholog_one2one,1
ENSMUSG00000035711,ENSRNOG00000013564,0.0427,0.2337,ortholog_one2one,1
ENSMUSG00000029049,ENSRNOG00000014642,0.057,0.182,ortholog_one2one,1
ENSMUSG00000057000,ENSRNOG00000028751,0.1238,0.1832,ortholog_one2one,0
ENSMUSG00000038611,ENSRNOG00000017299,0.0391,0.1421,ortholog_one2one,1
ENSMUSG00000040592,ENSRNOG00000011917,0.0808,0.1924,ortholog_one2one,1
ENSMUSG00000023992,ENSRNOG00000013578,0.1181,0.2721,ortholog_one2one,0
ENSMUSG00000034957,ENSRNOG00000010918,0.007,0.2462,ortholog_one2one,1
ENSMUSG00000026663,ENSRNOG00000024632,0.0227,0.2089,ortholog_one2one,1
ENSMUSG00000090777,ENSRNOG00000042711,0.0476,0.1425,ortholog_one2one,0
ENSMUSG00000074736,ENSRNOG00000031536,0.007,0.146,ortholog_one2one,1
ENSMUSG00000038116,ENSRNOG00000019948,0.0239,0.1814,ortholog_one2one,1
ENSMUSG00000056888,ENSRNOG00000026644,0.1018,0.2897,ortholog_one2one,1
ENSMUSG00000032551,ENSRNOG00000004135,0.0206,0.2158,ortholog_one2one,1
ENSMUSG00000029076,ENSRNOG00000019981,0.0124,0.1884,ortholog_one2one,1
ENSMUSG00000052488,ENSRNOG00000012323,0.0067,0.2109,ortholog_one2one,1
ENSMUSG00000001027,ENSRNOG00000012134,0.0129,0.2831,ortholog_one2one,1
ENSMUSG00000035200,ENSRNOG00000014427,0.0169,0.194,ortholog_one2one,1
ENSMUSG00000062793,ENSRNOG00000005921,0.0622,0.206,ortholog_one2many,1
ENSMUSG00000018401,ENSRNOG00000007496,0.0188,0.1334,ortholog_one2one,1
ENSMUSG00000028830,ENSRNOG00000012204,0.0495,0.1986,ortholog_one2one,1
ENSMUSG00000045019,ENSRNOG00000047368,0.0418,0.2265,ortholog_one2one,1
ENSMUSG00000026835,ENSRNOG00000009342,0.0649,0.2756,ortholog_one2one,1
ENSMUSG00000026734,ENSRNOG00000021898,0.1645,0.3224,ortholog_one2one,0
ENSMUSG00000023330,ENSRNOG00000009593,0.0664,0.1961,ortholog_one2one,1
ENSMUSG00000035356,ENSRNOG00000031163,0.0978,0.3342,ortholog_one2one,1
ENSMUSG00000026659,ENSRNOG00000003100,0.0498,0.2353,ortholog_one2one,1
ENSMUSG00000037148,ENSRNOG00000013152,0.0071,0.2065,ortholog_one2one,1
ENSMUSG00000002660,ENSRNOG00000047052,0.0457,0.3211,ortholog_one2one,1
ENSMUSG00000038179,ENSRNOG00000023209,0.231,0.2816,ortholog_one2one,0
ENSMUSG00000020102,ENSRNOG00000007839,0.0781,0.2496,ortholog_one2one,1
ENSMUSG00000026388,ENSRNOG00000045570,0.0264,0.2087,ortholog_one2one,1
ENSMUSG00000037536,ENSRNOG00000011704,0.0621,0.2469,ortholog_one2one,1
ENSMUSG00000002661,ENSRNOG00000047089,0.0193,0.1523,ortholog_one2one,1
ENSMUSG00000023333,ENSRNOG00000007932,0.0591,0.2534,ortholog_one2one,1
ENSMUSG00000094559,ENSRNOG00000029128,0.1061,0.2731,ortholog_one2many,1
ENSMUSG00000024076,ENSRNOG00000004706,0.0429,0.2131,ortholog_one2one,1
ENSMUSG00000054892,ENSRNOG00000025925,0.0343,0.2078,ortholog_one2one,1
ENSMUSG00000062148,ENSRNOG00000031445,0.277,0.3402,ortholog_many2many,0
ENSMUSG00000062148,ENSRNOG00000050295,0.2646,0.3766,ortholog_many2many,0
ENSMUSG00000062148,ENSRNOG00000053457,0.277,0.3402,ortholog_many2many,0
ENSMUSG00000055817,ENSRNOG00000004685,0.0288,0.2982,ortholog_one2one,1
ENSMUSG00000002664,ENSRNOG00000049171,0.0618,0.124,ortholog_one2one,1
ENSMUSG00000022043,ENSRNOG00000009449,0.0104,0.2156,ortholog_one2one,1
ENSMUSG00000070524,ENSRNOG00000003135,0.0313,0.2514,ortholog_one2one,1
ENSMUSG00000025498,ENSRNOG00000017414,0.099,0.3003,ortholog_one2one,1
ENSMUSG00000031250,ENSRNOG00000060970,0.0074,0.0936,ortholog_one2one,1
ENSMUSG00000068134,ENSRNOG00000006112,0.0503,0.2102,ortholog_one2one,1
ENSMUSG00000022913,ENSRNOG00000001643,0.0428,0.1997,ortholog_one2one,1
ENSMUSG00000021945,ENSRNOG00000008734,0.0299,0.2012,ortholog_one2one,1
ENSMUSG00000043415,ENSRNOG00000016950,0.0277,0.2111,ortholog_one2one,1
ENSMUSG00000052785,ENSRNOG00000047871,0.0503,0.1443,ortholog_one2one,1
ENSMUSG00000032564,ENSRNOG00000026577,0,0,ortholog_one2one,1
ENSMUSG00000050445,ENSRNOG00000019481,0.0532,0.3791,ortholog_one2one,1
ENSMUSG00000038421,ENSRNOG00000003136,0.1204,0.1928,ortholog_one2one,0
ENSMUSG00000029649,ENSRNOG00000049229,0.0172,0.1906,ortholog_one2many,0
ENSMUSG00000029649,ENSRNOG00000048470,0.0172,0.1906,ortholog_one2many,1
ENSMUSG00000052794,ENSRNOG00000023700,0.1445,0.2402,ortholog_one2one,0
ENSMUSG00000038806,ENSRNOG00000003247,0.0812,0.2241,ortholog_one2one,1
ENSMUSG00000066677,ENSRNOG00000042990,0.3927,0.5899,ortholog_one2many,0
ENSMUSG00000021886,ENSRNOG00000003806,0.0629,0.345,ortholog_one2one,1
ENSMUSG00000041722,ENSRNOG00000028595,0.2015,0.3285,ortholog_one2many,0
ENSMUSG00000020481,ENSRNOG00000056767,0.0981,0.263,ortholog_one2one,0
ENSMUSG00000000552,ENSRNOG00000036833,0.0104,0.0717,ortholog_one2one,1
ENSMUSG00000050199,ENSRNOG00000005715,0.0109,0.1255,ortholog_one2one,1
ENSMUSG00000045824,ENSRNOG00000048436,0.0247,0.1761,ortholog_one2one,1
ENSMUSG00000075141,ENSRNOG00000005921,0.036,0.1988,ortholog_one2many,0
ENSMUSG00000006398,ENSRNOG00000028415,0.012,0.2276,ortholog_one2one,1
ENSMUSG00000045150,ENSRNOG00000046185,0.0665,0.1738,ortholog_one2one,1
ENSMUSG00000053205,ENSRNOG00000007956,0.0062,0.109,ortholog_one2many,1
ENSMUSG00000060166,ENSRNOG00000021891,0.0074,0.1252,ortholog_one2one,1
ENSMUSG00000026959,ENSRNOG00000011726,0.0073,0.2278,ortholog_one2one,1
ENSMUSG00000017204,ENSRNOG00000007943,0.0349,0.2127,ortholog_one2one,1
ENSMUSG00000026389,ENSRNOG00000049471,0.0127,0.2644,ortholog_one2one,1
ENSMUSG00000075140,ENSRNOG00000049888,0.0461,0.2146,ortholog_one2one,1
ENSMUSG00000091415,ENSRNOG00000037688,0.076,0.324,ortholog_one2one,1
ENSMUSG00000029306,ENSRNOG00000002158,0.0536,0.2596,ortholog_one2one,1
ENSMUSG00000060512,ENSRNOG00000002191,0.0685,0.1603,ortholog_one2one,1
ENSMUSG00000007670,ENSRNOG00000047628,7e-04,0.1081,ortholog_one2one,1
ENSMUSG00000028560,ENSRNOG00000007890,0.0343,0.2155,ortholog_one2one,1
ENSMUSG00000038085,ENSRNOG00000019992,0.1443,0.3109,ortholog_one2one,0
ENSMUSG00000075139,ENSRNOG00000047639,0.0581,0.3112,ortholog_many2many,1
ENSMUSG00000075139,ENSRNOG00000050737,0.0596,0.3052,ortholog_many2many,1
ENSMUSG00000047417,ENSRNOG00000017916,0.0252,0.2089,ortholog_one2one,1
ENSMUSG00000006390,ENSRNOG00000028448,0.0189,0.1831,ortholog_one2one,1
ENSMUSG00000048988,ENSRNOG00000022767,0.0068,0.2796,ortholog_one2one,1
ENSMUSG00000075137,ENSRNOG00000047639,0.038,0.2399,ortholog_many2many,1
ENSMUSG00000075137,ENSRNOG00000050737,0.0394,0.2359,ortholog_many2many,1
ENSMUSG00000057346,ENSRNOG00000023410,0.139,0.1978,ortholog_one2many,0
ENSMUSG00000002477,ENSRNOG00000013714,0,0,ortholog_one2one,1
ENSMUSG00000075136,ENSRNOG00000005950,0.0425,0.1928,ortholog_one2one,1
ENSMUSG00000050530,ENSRNOG00000016534,0.0758,0.3491,ortholog_one2one,1
ENSMUSG00000015355,ENSRNOG00000004737,0.2193,0.1679,ortholog_one2one,0
ENSMUSG00000023993,ENSRNOG00000040109,0.1271,0.1684,ortholog_one2one,0
ENSMUSG00000043354,ENSRNOG00000015657,0.0115,0.1991,ortholog_one2one,1
ENSMUSG00000032735,ENSRNOG00000019365,0.0059,0.1814,ortholog_one2one,1
ENSMUSG00000073962,ENSRNOG00000034083,0.0298,0.1552,ortholog_one2many,1
ENSMUSG00000073962,ENSRNOG00000015649,0.0369,0.1893,ortholog_one2many,1
ENSMUSG00000029660,ENSRNOG00000000905,0.133,0.3702,ortholog_one2one,0
ENSMUSG00000046070,ENSRNOG00000015061,0.0358,0.3284,ortholog_one2one,1
ENSMUSG00000029344,ENSRNOG00000000664,0.0069,0.1815,ortholog_one2one,1
ENSMUSG00000041120,ENSRNOG00000049402,0.0128,0.2046,ortholog_one2one,1
ENSMUSG00000030173,ENSRNOG00000061664,0.2328,0.4334,ortholog_many2many,0
ENSMUSG00000030173,ENSRNOG00000062297,0.2295,0.3347,ortholog_many2many,0
ENSMUSG00000030173,ENSRNOG00000051489,0.2364,0.2899,ortholog_many2many,0
ENSMUSG00000030173,ENSRNOG00000057069,0.2476,0.302,ortholog_many2many,0
ENSMUSG00000030173,ENSRNOG00000058775,0.2438,0.3991,ortholog_many2many,0
ENSMUSG00000030173,ENSRNOG00000060202,0.221,0.3251,ortholog_many2many,0
ENSMUSG00000030173,ENSRNOG00000048253,0.2476,0.302,ortholog_many2many,0
ENSMUSG00000021541,ENSRNOG00000012727,0.0026,0.2016,ortholog_one2one,1
ENSMUSG00000020257,ENSRNOG00000048441,0.0153,0.2976,ortholog_one2one,1
ENSMUSG00000085079,ENSRNOG00000028595,0.1927,0.3682,ortholog_one2many,0
ENSMUSG00000045792,ENSRNOG00000015673,0.0112,0.1686,ortholog_one2one,1
ENSMUSG00000037722,ENSRNOG00000008641,0.0025,0.1469,ortholog_one2one,1
ENSMUSG00000059409,ENSRNOG00000016849,0.0085,0.2151,ortholog_one2one,1
ENSMUSG00000013701,ENSRNOG00000019811,0.0093,0.1458,ortholog_one2one,1
ENSMUSG00000032224,ENSRNOG00000057501,0.0137,0.2233,ortholog_one2one,1
ENSMUSG00000053863,ENSRNOG00000002154,0.2071,0.3922,ortholog_one2one,0
ENSMUSG00000018899,ENSRNOG00000008144,0.0318,0.3205,ortholog_one2one,1
ENSMUSG00000018412,ENSRNOG00000053680,0.0195,0.1098,ortholog_one2one,1
ENSMUSG00000079009,ENSRNOG00000036747,0.2049,0.5916,ortholog_one2many,0
ENSMUSG00000026656,ENSRNOG00000046452,0.1074,0.2203,ortholog_one2one,1
ENSMUSG00000020698,ENSRNOG00000007523,0.0206,0.179,ortholog_one2one,1
ENSMUSG00000032258,ENSRNOG00000009580,0.075,0.2339,ortholog_one2one,1
ENSMUSG00000047261,ENSRNOG00000001528,0.0045,0.0524,ortholog_one2one,1
ENSMUSG00000061769,ENSRNOG00000061664,0.2327,0.4336,ortholog_many2many,0
ENSMUSG00000061769,ENSRNOG00000062297,0.2237,0.3254,ortholog_many2many,0
ENSMUSG00000061769,ENSRNOG00000051489,0.2381,0.3132,ortholog_many2many,0
ENSMUSG00000061769,ENSRNOG00000057069,0.2509,0.3621,ortholog_many2many,0
ENSMUSG00000061769,ENSRNOG00000058775,0.246,0.3934,ortholog_many2many,0
ENSMUSG00000061769,ENSRNOG00000060202,0.2127,0.3409,ortholog_many2many,0
ENSMUSG00000061769,ENSRNOG00000048253,0.2509,0.3621,ortholog_many2many,0
ENSMUSG00000000295,ENSRNOG00000021442,0.0332,0.204,ortholog_one2one,1
