GENEID,TXNAME,TXCHROM,TXSTRAND,exonic.gene.sizes
FBgn0000003,FBtr0081624,3R,+,299
FBgn0000008,FBtr0071763,2R,+,5414
FBgn0000014,FBtr0306337,3R,-,5477
FBgn0000015,FBtr0415463,3R,-,11791
FBgn0000017,FBtr0112790,3L,-,12819
FBgn0000018,FBtr0080168,2L,-,1794
FBgn0000022,FBtr0070072,X,+,917
FBgn0000024,FBtr0335223,3R,-,8473
FBgn0000028,FBtr0305191,X,-,4433
FBgn0000032,FBtr0085610,3R,-,2024
FBgn0000036,FBtr0334916,3R,-,11027
FBgn0000037,FBtr0072367,2R,-,5425
FBgn0000038,FBtr0073300,3L,+,2974
FBgn0000039,FBtr0084639,3R,+,2387
FBgn0000042,FBtr0070822,X,+,2978
FBgn0000043,FBtr0086029,2R,-,1626
FBgn0000044,FBtr0071519,2R,+,1724
FBgn0000045,FBtr0078478,3L,+,1619
FBgn0000046,FBtr0082785,3R,+,1989
FBgn0000047,FBtr0083143,3R,+,1595
FBgn0000052,FBtr0079221,2L,-,4434
FBgn0000053,FBtr0339663,2L,-,4780
FBgn0000055,FBtr0100589,2L,+,2254
FBgn0000056,FBtr0006151,2L,+,2116
FBgn0000057,FBtr0086744,2R,+,2291
FBgn0000061,FBtr0078053,2L,+,1806
FBgn0000063,FBtr0083478,3R,+,2141
FBgn0000064,FBtr0084994,3R,-,3809
FBgn0000071,FBtr0081618,3R,+,1946
FBgn0000075,FBtr0081153,2L,+,2224
FBgn0000077,FBtr0307281,X,-,1422
FBgn0000078,FBtr0086983,2R,+,1606
FBgn0000079,FBtr0345521,2R,-,1668
FBgn0000083,FBtr0089519,3R,+,2073
FBgn0000084,FBtr0070025,X,-,1247
FBgn0000092,FBtr0070504,X,-,1013
FBgn0000094,FBtr0085611,3R,+,373
FBgn0000097,FBtr0077851,2L,-,5454
FBgn0000100,FBtr0334113,3L,+,1328
FBgn0000108,FBtr0070109,X,+,6383
FBgn0000109,FBtr0346440,3L,-,1021
FBgn0000114,FBtr0331998,2L,+,7791
FBgn0000115,FBtr0075517,3L,+,863
FBgn0000116,FBtr0345030,3L,-,3504
FBgn0000117,FBtr0089988,X,-,3564
FBgn0000119,FBtr0087702,2R,-,6024
FBgn0000120,FBtr0081030,2L,+,2476
FBgn0000121,FBtr0076599,3L,-,1547
FBgn0000137,FBtr0070075,X,+,2430
FBgn0000139,FBtr0084660,3R,+,2235
FBgn0000140,FBtr0084692,3R,+,6338
FBgn0000146,FBtr0112793,2L,-,3015
FBgn0000147,FBtr0082483,3R,+,1577
FBgn0000150,FBtr0346611,3R,-,727
FBgn0000152,FBtr0074372,X,-,2575
FBgn0000153,FBtr0080542,2L,+,2135
FBgn0000157,FBtr0072378,2R,+,3309
FBgn0000158,FBtr0084869,3R,-,1946
FBgn0000163,FBtr0111000,X,+,10881
FBgn0000166,FBtr0081664,3R,-,2536
FBgn0000173,FBtr0300566,X,+,2072
FBgn0000179,FBtr0070672,X,+,6095
FBgn0000180,FBtr0079929,2L,+,3276
FBgn0000181,FBtr0087783,2R,+,1546
FBgn0000182,FBtr0080803,2L,+,4547
FBgn0000183,FBtr0330225,2L,-,5498
FBgn0000206,FBtr0084949,3R,+,3013
FBgn0000212,FBtr0075526,3L,-,5597
FBgn0000216,FBtr0075621,3L,+,532
FBgn0000221,FBtr0070638,X,+,1450
FBgn0000227,FBtr0077423,2L,-,1352
FBgn0000228,FBtr0079085,2L,-,4953
FBgn0000229,FBtr0300982,2L,-,2018
